Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown2,MarkDown3,MarkDown4,Week
1,2010-05-02,35034,0,0,202307,4,2,0,0,0,17
1,2010-12-02,60483,1,0,202307,3,2,0,0,0,48
1,2010-02-19,58221,0,0,202307,4,2,0,0,0,7
1,2010-02-26,25962,0,0,202307,7,2,0,0,0,8
1,2010-05-03,27372,0,0,202307,8,2,0,0,0,18
1,2010-12-03,28660,0,0,202307,14,2,0,0,0,48
1,2010-03-19,28446,0,0,202307,12,2,0,0,0,11
1,2010-03-26,32213,0,0,202307,10,2,0,0,0,12
1,2010-02-04,82766,0,0,202307,17,2,0,0,0,5
1,2010-09-04,66560,0,0,202307,18,2,0,0,0,35
1,2010-04-16,21308,0,0,202307,20,2,0,0,0,15
1,2010-04-23,22163,0,0,202307,18,2,0,0,0,16
1,2010-04-30,24066,0,0,202307,19,2,0,0,0,17
1,2010-07-05,26191,0,0,202307,21,2,0,0,0,27
1,2010-05-14,25876,0,0,202307,22,2,0,0,0,19
1,2010-05-21,22689,0,0,202307,23,2,0,0,0,20
1,2010-05-28,22899,0,0,202307,27,2,0,0,0,21
1,2010-04-06,23869,0,0,202307,27,2,0,0,0,14
1,2010-11-06,24549,0,0,202307,28,2,0,0,0,44
1,2010-06-18,23918,0,0,202307,29,2,0,0,0,24
1,2010-06-25,23757,0,0,202307,30,2,0,0,0,25
1,2010-02-07,23803,1,0,202307,28,2,0,0,0,5
1,2010-09-07,23707,0,0,202307,28,2,0,0,0,36
1,2010-07-16,23727,0,0,202307,29,2,0,0,0,28
1,2010-07-23,21139,0,0,202307,30,2,0,0,0,29
1,2010-07-30,22749,0,0,202307,28,2,0,0,0,30
1,2010-06-08,22795,0,0,202307,31,2,0,0,0,23
1,2010-08-13,21933,0,0,202307,31,2,0,0,0,32
1,2010-08-20,22126,0,0,202307,31,2,0,0,0,33
1,2010-08-27,21264,0,0,202307,30,2,0,0,0,34
1,2010-03-09,23901,0,0,202307,27,2,0,0,0,10
1,2010-10-09,25710,1,0,202307,26,2,0,0,0,40
1,2010-09-17,26266,0,0,202307,27,2,0,0,0,37
1,2010-09-24,26127,0,0,202307,27,2,0,0,0,38
1,2010-01-10,27023,0,0,202307,20,2,0,0,0,1
1,2010-08-10,31524,0,0,202307,17,2,0,0,0,32
1,2010-10-15,34924,0,0,202307,18,2,0,0,0,41
1,2010-10-22,40755,0,0,202307,20,2,0,0,0,42
1,2010-10-29,56903,0,0,202307,19,2,0,0,0,43
1,2010-05-11,46198,0,0,202307,14,2,0,0,0,19
1,2010-12-11,22794,0,0,202307,15,2,0,0,0,49
1,2010-11-19,24363,0,0,202307,10,2,0,0,0,46
